,Film,Year,Award,Nomination
388,The Long Way Home,1997,1,1
389,The English Patient,1996,9,12
390,Fargo,1996,2,7
391,Shine,1996,1,7
392,Evita,1996,1,5
393,Jerry Maguire,1996,1,5
394,Independence Day,1996,1,2
395,Emma,1996,1,2
396,Sling Blade,1996,1,2
397,The Ghost and the Darkness,1996,1,1
398,Kolya,1996,1,1
399,The Nutty Professor,1996,1,1
400,Quest,1996,1,1
401,When We Were Kings,1996,1,1
402,Breathing Lessons: The Life and Work of Mark O'Brien,1996,1,1
403,Dear Diary,1996,1,1
404,Braveheart,1995,5,10
405,Apollo 13,1995,2,9
406,Pocahontas,1995,2,2
407,The Usual Suspects,1995,2,2
408,Restoration,1995,2,2
409,Babe,1995,1,7
410,Sense and Sensibility,1995,1,7
411,Il Postino: The Postman,1995,1,5
412,Dead Man Walking,1995,1,4
413,Leaving Las Vegas,1995,1,4
414,Mighty Aphrodite,1995,1,2
415,Anne Frank Remembered,1995,1,1
416,A Close Shave,1995,1,1
417,Lieberman in Love,1995,1,1
418,One Survivor Remembers,1995,1,1
419,Antonia's Line,1995,1,1
420,Toy Story,1995,0 (1),3
421,Forrest Gump,1994,6,13
422,The Lion King,1994,2,4
423,Speed,1994,2,3
424,Ed Wood,1994,2,2
425,Pulp Fiction,1994,1,7
426,Bullets Over Broadway,1994,1,7
427,The Madness of King George,1994,1,4
428,Legends of the Fall,1994,1,3
429,A Time for Justice,1994,1,1
430,Franz Kafka's It's a Wonderful Life,1994,1,1
431,Maya Lin: A Strong Clear Vision,1994,1,1
432,Burnt by the Sun,1994,1,1
433,Trevor,1994,1,1
434,"The Adventures of Priscilla, Queen of the Desert",1994,1,1
435,Bob's Birthday,1994,1,1
436,Blue Sky,1994,1,1
437,Schindler's List,1993,7,12
438,The Piano,1993,3,8
439,Jurassic Park,1993,3,3
440,Philadelphia,1993,2,5
441,The Fugitive,1993,1,7
442,The Age of Innocence,1993,1,5
443,The Wrong Trousers,1993,1,1
444,Belle Epoque,1993,1,1
445,I Am a Promise: The Children of Stanton Elementary School,1993,1,1
446,Mrs. Doubtfire,1993,1,1
447,Black Rider,1993,1,1
448,Defending Our Lives,1993,1,1
449,Unforgiven,1992,4,9
450,Howards End,1992,3,9
451,Bram Stoker's Dracula,1992,3,4
452,Aladdin,1992,2,5
453,The Crying Game,1992,1,6
454,Scent of a Woman,1992,1,4
455,A River Runs Through It,1992,1,3
456,Indochine,1992,1,2
457,My Cousin Vinny,1992,1,1
458,The Panama Deception,1992,1,1
459,Educating Peter,1992,1,1
460,The Last of the Mohicans,1992,1,1
461,Death Becomes Her,1992,1,1
462,Omnibus,1992,1,1
463,Mona Lisa Descending a Staircase,1992,1,1
464,The Silence of the Lambs,1991,5,7
465,Terminator 2: Judgment Day,1991,4,6
466,Bugsy,1991,2,10
467,JFK,1991,2,8
468,Beauty and the Beast,1991,2,6
469,Thelma &amp; Louise,1991,1,6
470,The Fisher King,1991,1,5
471,In the Shadow of the Stars,1991,1,1
472,Manipulation,1991,1,1
473,Mediterraneo,1991,1,1
474,Session Man,1991,1,1
475,City Slickers,1991,1,1
476,"Deadly Deception: General Electric, Nuclear Weapons and Our Environment",1991,1,1
477,Dances with Wolves,1990,7,12
478,Dick Tracy,1990,3,7
479,Ghost,1990,2,5
480,Goodfellas,1990,1,6
481,The Hunt for Red October,1990,1,3
482,Reversal of Fortune,1990,1,3
483,Cyrano de Bergerac,1990,1,5
484,American Dream,1990,1,1
485,Journey of Hope,1990,1,1
486,Days of Waiting,1990,1,1
487,Creature Comforts,1990,1,1
488,The Lunch Date,1990,1,1
489,Misery,1990,1,1
490,Total Recall,1990,0 (1),2
491,Driving Miss Daisy,1989,4,9
492,Glory,1989,3,5
493,Born on the Fourth of July,1989,2,8
494,My Left Foot,1989,2,5
495,The Little Mermaid,1989,2,3
496,Dead Poets Society,1989,1,4
497,The Abyss,1989,1,4
